id,nrc,tpin,first_name,last_name,phone_number,email,address,title,role,belt_no,attendance,no_of_days,marking_centre,province,subject_code,paper_no,bank,branch,account_no,session
1,123211/12/1,1012233214,JULIAN,SAKALA,777455558,js@gmail.com,O;IIHBUI YUIGH,MRS,1,2,1,6,MC-70,9,205,1,2,8,123654125,2023
2,333222/10/1,1010111221,JAMES,ZULU,977745210,jz@yahoo.com,ILUIGHYI JKBIUIO,MR,1,2,1,6,MC-70,9,205,1,3,126,1255552102365,2023
3,322366/63/3,1010969630,LILLY,SONGA,966521458,ls@gmail.com,AFDEGE ADRWEGTR EGEWRBVG,MRS,4,0,1,6,MC-70,9,205,1,3,127,1011123654111,2023
4,122033/10/3,2220214569,JOSEPH,LUSOMO,977452222,jol@gmail.com,UYKGGFY U;HUIH,MR,5,0,1,6,MC-70,9,205,1,13,335,2222200012300,2023
5,744455/10/3,1010252410,JOSHUA,BANDA,955521458,jb@yahoo.com,IJUGHGYIG KIBNBHJUIU;,MR,3,4,1,6,MC-70,9,101,1,3,127,1230001235412,2023
6,123211/12/2,1012233212,JANE,SAKALA,777455558,s@gmail.com,O;IIHBUI YUIGH,MRS,1,4,1,6,MC-70,9,205,1,2,8,123654125,2023
7,563211/12/2,1012203212,JACK,BINGO,777455558,jb@gmail.com,O;IIHBUI YUIGH,MRS,1,4,1,6,MC-70,9,205,1,2,8,123654125,2023
8,667455/10/3,1012010230,JAXOB,BANDA,955521458,jb@hotmail.com,IJUGHGYIG KIBNBHJUIU;,MR,3,4,1,6,MC-70,9,101,1,3,127,1230001235412,2023
9,456788/52/1,9996547810,JOSEPH,MILIMO,774555210,jom@yahoo.com,LHBVGLIGYIG ;IHOPUHOUHIL JFIUF,MR,3,3,1,6,MC-70,9,101,1,17,445,1010222122023,2023
10,456788/52/2,9996547810,JANET,MILIMO,774555210,jabet@yahoo.com,LHBVGLIGYIG ;IHOPUHOUHIL JFIUF,MS,1,3,1,6,MC-70,9,101,1,17,445,1010222122023,2023
11,999855/78/4,9994547810,NOREN,KACHEMA,774555210,noren@yahoo.com,LHBVGLIGYIG ;IHOPUHOUHIL JFIUF,MRS,4,0,1,6,MC-70,9,101,1,17,445,1010222122023,2023
12,119855/78/4,9994548956,VICTOR,LAMA,774555210,vivlama@gmail.com,LHBVGLIGYIG ;IHOPUHOUHIL JFIUF,MR,5,0,1,6,MC-70,9,101,1,17,445,1010222122023,2023
